combo,filename,label,esp_only,window_index,start_offset_sec,n_packets,n_bytes,pkts_per_sec,bytes_per_sec,mean_size,std_size,min_size,max_size,median_size,mean_inter_arrival,std_inter_arrival,max_inter_arrival,fwd_packet_ratio,fwd_byte_ratio
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,7,7.0,20,3984,20.0,3984.0,199.2,259.55946484278644,108,956,108.0,0.027909893738596064,0.12015456847207412,0.5240819454193115,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,8,8.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.0003934436374240451,0.0006912582400872162,0.0022161006927490234,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,9,9.0,20,3984,20.0,3984.0,199.2,259.55946484278644,108,956,108.0,0.019357894596300627,0.08253026229972536,0.3601539134979248,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,10,10.0,20,3984,20.0,3984.0,199.2,259.55946484278644,108,956,108.0,0.021640689749466747,0.09260002157748583,0.4040207862854004,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,11,11.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.0003313488430447049,0.0004727257382937171,0.0015609264373779297,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,12,12.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.0003742112053765191,0.0005363762088397236,0.0017788410186767578,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,13,13.0,20,3984,20.0,3984.0,199.2,259.55946484278644,108,956,108.0,0.02451567900808234,0.10541330119570164,0.45981407165527344,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,14,14.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.0003744496239556207,0.0005985112025718966,0.0019512176513671875,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,15,15.0,20,3984,20.0,3984.0,199.2,259.55946484278644,108,956,108.0,0.03756810489453768,0.16231712867752118,0.7078509330749512,0.6,0.357429718875502
aes128-dh14-transport-pfs-on,aes128-dh14-transport-pfs-on__web_run1.pcap,web_browsing,True,16,16.0,10,1992,10.0,1992.0,199.2,266.6719999466677,108,956,108.0,0.00037932395935058594,0.0006307314731241293,0.002034902572631836,0.6,0.357429718875502
